Breakdown,Bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
Net Income Continuous Operations,RY,"14,866,000","15,807,000","16,050,000","11,437,000"
Minority Interests,RY,"-7,000","-13,000","-12,000","-5,000"
Preferred Stock Dividends,RY,"236,000","247,000","257,000","268,000"
Average Dilution Earnings,RY,-,-,0,"13,000"
Diluted NI Available to Com Stockholders,RY,"14,623,000","15,547,000","15,781,000","11,177,000"
Basic EPS,RY,10.51,11.08,11.08,7.84
Diluted EPS,RY,10.50,11.06,11.06,7.82
Basic Average Shares,RY,"1,391,020","1,403,654","1,424,343","1,423,915"
Diluted Average Shares,RY,"1,392,529","1,406,034","1,426,735","1,428,770"
Interest Income after Provision for Loan Loss,RY,"22,661,000","22,233,000","20,755,000","16,484,000"
Net Income from Continuing & Discontinued Operation,RY,"14,859,000","15,794,000","16,038,000","11,432,000"
Normalized Income,RY,"15,176,170","15,729,548","16,040,334","11,467,900"
Total Money Market Investments,RY,"29,016,000","7,144,000","1,614,000","4,975,000"
Reconciled Depreciation,RY,"2,870,000","2,652,000","2,592,000","2,648,000"
Net Income from Continuing Operation Net Minority Interest,RY,"14,859,000","15,794,000","16,038,000","11,432,000"
Total Unusual Items Excluding Goodwill,RY,"-394,000","82,000","-3,000","-50,000"
Total Unusual Items,RY,"-394,000","82,000","-3,000","-50,000"
Tax Rate for Calcs,RY,0,0,0,0
