breakdown,bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
"Repurchase of Capital Stock",RY,-4075000.0,-11282000.0,-6218000.0,-7175000.0
"Free Cash Flow",RY,23349000.0,19442000.0,58858000.0,136190000.0
"Operating Cash Flow",GS,-12587000.0,8708000.0,6298000.0,-18535000.0
"Cash Flow from Continuing Operating Activities",GS,-12587000.0,8708000.0,6298000.0,-18535000.0
"Net Income from Continuing Operations",GS,8516000.0,11261000.0,21635000.0,9459000.0
"Operating Gains Losses",GS,12714959.061014263,214641227.3611557,125287530.36793894,-1000.0
"Depreciation Amortization Depletion",GS,4856000.0,2455000.0,2015000.0,1902000.0
"Depreciation & amortization",GS,4856000.0,2455000.0,2015000.0,1902000.0
"Deferred Tax",GS,-1360000.0,-2412000.0,5000.0,-833000.0
"Deferred Income Tax",GS,-1360000.0,-2412000.0,5000.0,-833000.0
"Stock based compensation",GS,2085000.0,4083000.0,2348000.0,1920000.0
"Provision for Loan Lease And Other Losses",GS,1028000.0,2715000.0,357000.0,3098000.0
"Change in working capital",GS,-27712000.0,-9394000.0,-20062000.0,-34080000.0
"Change in Loans",GS,161862000.0,-97835000.0,-75614000.0,-11187000.0
"Change in Other Working Capital",GS,-189574000.0,88441000.0,55552000.0,-22893000.0
"Investing Cash Flow",GS,-17312000.0,-75960000.0,-30465000.0,-34356000.0
"Cash Flow from Continuing Investing Activities",GS,-17312000.0,-75960000.0,-30465000.0,-34356000.0
"Net Investment Purchase And Sale",GS,-13408000.0,-47575000.0,5789000.0,-19613000.0
"Purchase of Investment",GS,-40256000.0,-60536000.0,-39912000.0,-48670000.0
"Sale of Investment",GS,26848000.0,12961000.0,45701000.0,29057000.0
"Net Proceeds Payment for Loan",GS,-5353000.0,-25228000.0,-35520000.0,-11173000.0
"Payment for Loans",GS,12714959.061014263,214641227.3611557,125287530.36793894,-11173000.0
"Net PPE Purchase And Sale",GS,962000.0,-1042000.0,-734000.0,-3339000.0
"Purchase of PPE",GS,-2316000.0,-3748000.0,-4667000.0,-6309000.0
"Sale of PPE",GS,3278000.0,2706000.0,3933000.0,2970000.0
"Net Business Purchase And Sale",GS,487000.0,-2115000.0,0.0,-231000.0
"Purchase of Business",GS,12714959.061014263,-2115000.0,0.0,-231000.0
"Financing Cash Flow",GS,27800000.0,59602000.0,134738000.0,70380000.0
"Cash Flow from Continuing Financing Activities",GS,27800000.0,59602000.0,134738000.0,70380000.0
"Net Issuance Payments of Debt",GS,-4713000.0,38147000.0,39131000.0,6703000.0
"Net Long Term Debt Issuance",GS,-7436000.0,40109000.0,38314000.0,-3865000.0
"Long Term Debt Issuance",GS,50200000.0,86322000.0,97512000.0,55323000.0
"Long Term Debt Payments",GS,-57636000.0,-46213000.0,-59198000.0,-59188000.0
"Net Short Term Debt Issuance",GS,2723000.0,-1962000.0,817000.0,10568000.0
"Net Common Stock Issuance",GS,-5796000.0,-3500000.0,-5200000.0,-1928000.0
"Common Stock Issuance",GS,12714959.061014263,214641227.3611557,125287530.36793894,0.0
"Common Stock Payments",GS,-5796000.0,-3500000.0,-5200000.0,-1928000.0
"Net Preferred Stock Issuance",GS,496000.0,0.0,-503000.0,-1000.0
"Preferred Stock Issuance",GS,1496000.0,0.0,2172000.0,349000.0
"Preferred Stock Payments",GS,-1000000.0,0.0,-2675000.0,-350000.0
